,title,date,console
307,Lernerfolg Grundschule: Englisch - Der Vokabeltrainer Neue Version,2008,DS
308,Lernerfolg Grundschule: Mathematik Intensiv - Klasse 1-4,2008,DS
309,Lernerfolg Grundschule: Konzentration - Der Aufmerksamkeitstrainer,2008,DS
310,Lernerfolg Vorschule: Capt'n Sharky,2008,DS
311,Lernerfolg Vorschule: Lernerfolg Vorschule - Prinzessin Lillifee,2008,DS
312,Les aventures de T'choupi a l'ecole,2010,DS
313,Les nouvelles aventures de T'choupi et ses amis,2011,DS
314,Les Incollables CE1-CE2,2008,DS
315,Les Incollables CM1-CM2,2008,DS
316,Les Incollables CP,2008,DS
317,Let's Mangaka DS Style,2010,DS
318,Let's Play Ballerina,2010,DS
319,Let's Play Fashion Designer,2008,DS
320,Let's Play Flight Attendant,2010,DS
321,Let's Play Garden,2010,DS
322,Let's Play Journalists,2010,DS
323,Let's Play Pet Hospitals,2009,DS
324,Let's Play Schools,2008,DS
325,Let's Ride: Friends Forever,2008,DS
326,Lettriq,2007,DS
327,LifeSigns: Surgical Unit,2005,DS
328,Line Rider 2: Unbound,2008,DS
329,Lilpri DS: Hime-Chen! Apple Pink,2010,DS
330,Lina no Atelier: Strahl no Renkinjutsushi,2009,DS
331,Lingo,2010,DS
332,Lingo Deluxe,2011,DS
333,Lingo voor kinderen,2011,DS
334,Lionel Trains: On Track,2006,DS
335,Lise no Atelier: Ordre no Renkinjutsushi,2007,DS
336,Little Bears,2009,DS
337,Little Book of Big Secrets,2010,DS
338,Little Charley Bear,2012,DS
339,Little League World Series Baseball 2008,2008,DS
340,Little League World Series Baseball 2009,2009,DS
341,Little Red Riding Hood's Zombie BBQ,2008,DS
342,Little Wingels,2009,DS
343,Littlest Pet Shop: Beach Friends,2009,DS
344,Littlest Pet Shop: City Friends,2009,DS
345,Littlest Pet Shop: Country Friends,2009,DS
346,Littlest Pet Shop: Garden,2008,DS
347,Littlest Pet Shop: Jungle,2008,DS
348,Littlest Pet Shop: Spring,2009,DS
349,Littlest Pet Shop: Winter,2008,DS
350,Littlest Pet Shop 3 Biggest Stars: Blue Team,2010,DS
351,Littlest Pet Shop 3 Biggest Stars: Pink Team,2010,DS
352,Littlest Pet Shop 3 Biggest Stars: Purple Team,2010,DS
353,Live Battle Card: Live-On DS,2009,DS
354,Lively Garden,2010,DS
355,Lock's Quest,2008,DS
356,Lode Runner,2006,DS
357,Logic Cubes,2010,DS
358,Logic Machines,2009,DS
359,LOL,2007,DS
360,Lola & Virginia,2009,DS
361,Londonian Gothics: Mekyū no Lolita,2005,DS
362,Lost Identities,2010,DS
363,Looney Tunes: Cartoon Conductor,2008,DS
364,Looney Tunes: Duck Amuck,2007,DS
365,The Lord of the Rings: Aragorn's Quest,2010,DS
366,The Lord of the Rings: Conquest,2009,DS
367,Los Lunnis,2009,DS
368,Lost in Blue,2005,DS
369,Lost in Blue 2,2007,DS
370,Lost in Blue 3,2007,DS
371,The Lost Treasures of Alexandria,2011,DS
372,LostMagic,2006,DS
373,Love is... in Bloom: The Flower Shop Garden,2009,DS
374,LovePlus,2009,DS
375,LovePlus+,2010,DS
376,Lovely Lisa,2007,DS
377,Lovely Lisa and Friends,2009,DS
378,Loving Life with Hello Kitty & Friends,2011,DS
379,Lucky Star Moe Drill,2005,DS
380,Lucky Luke: The Daltons,2008,DS
381,Lufia: Curse of the Sinistrals,2010,DS
382,Luminous Arc,2007,DS
383,Luminous Arc 2,2008,DS
384,Luminous Arc 3,2009,DS
385,Lunar Knights,2007,DS
386,Lunar: Dragon Song,2005,DS
387,Lup Salad DS: Lupupu Cube,2008,DS
388,Lupin Sansei: Shijou Saidai no Zunousen,2010,DS
389,Lux-Pain,2008,DS
390,Luxor: Pharaoh's Challenge,2007,DS
391,M&M's Adventure,2008,DS
392,M&M's Break' Em,2007,DS
393,M&M's Kart Racing,2008,DS
394,Mabeop Cheonjamun DS,2009,DS
395,Mabeop Cheonjamun DS 2: The Final Hanja Magic,2011,DS
396,Machi no Pet-Ya-San DS 2: Wannyan 333-Hiki Daishuugou!,2009,DS
397,Machi no Pet-Ya-San DS: Wan-chan 200-Hiki Daishuugou,2007,DS
398,Machi-Ing Maker DS,2008,DS
399,Machiteba Tengoku! Makereba Jigoku! Ryoutsuryuu Ikkakusenkin Daisakusen!,2010,DS
400,Madden NFL 2005,2004,DS
401,Madden NFL 06,2005,DS
402,Madden NFL 07,2006,DS
403,Madden NFL 08,2007,DS
404,Madden NFL 09,2008,DS
405,Maeh Jongg DS,2010,DS
406,Maejig Cheongkeuwa Mabeobui Seong,2011,DS
407,Maestro! Jump in Music,2009,DS
408,Mage Knight: Destiny's Soldier,2006,DS
409,Magic Encyclopedia 3: Illusions,2012,DS
410,Magic Encyclopedia II: Moonlight,2010,DS
411,The Magic Roundabout,2008,DS
412,The Magic School Bus: Oceans,2011,DS
413,Magical Starsign,2006,DS
414,Magical Zhu Zhu Princess: Carriages & Castles,2011,DS
415,Magical Zunou Power!!,2008,DS
416,Magician's Quest: Mysterious Times,2008,DS
417,MagicQ DS,2007,DS
418,Magnetica,2006,DS
419,Mah Jong Quest: Expeditions,2007,DS
420,Mah-Jongg,2009,DS
421,Mahjong,2007,DS
422,The Mahjong,2005,DS
423,Mahjong 300,2011,DS
424,Mahjong Haoh DS Special,2006,DS
425,Mahjong Haoh DS: Dankyuu Battle,2007,DS
426,Mahjong Journey: Quest for Tikal,2009,DS
427,Mahjong Kakutou Club DS: Wi-Fi Taiou,2006,DS
428,Mahjong Mysteries: Ancient Athena,2012,DS
429,Mahjong Mysteries: Ancient Egypt,2010,DS
430,Mahjong Navi DS,2008,DS
431,Mahjong Taikai,2004,DS
432,Mahjong: Eine Reise um die Welt,2008,DS
433,Mainichi Suteki! Hello Kitty no Life Kit,2007,DS
434,Maji de Manabu: LEC de Ukaru - DS Hishou Boki 3-Kyuu,2008,DS
435,Majin Tantei Nōgami Neuro: Neuro to Miko no Bishoku Sanmai,2008,DS
436,Majime ni Fumajime Kaiketsu Zorori - Kyoufu no Takarabako,2006,DS
437,Major DS: Dream Baseball,2008,DS
438,Major League Baseball 2K7,2007,DS
439,Major League Baseball 2K8 Fantasy All-Stars,2008,DS
440,Major League Baseball 2K9 Fantasy All-Stars,2009,DS
441,Major League Baseball 2K10,2010,DS
442,Major League Baseball 2K11,2011,DS
443,Major League Baseball 2K12,2012,DS
444,Make 10: A Journey of Numbers,2007,DS
445,Mame Goma 2: Uchi no Ko ga Ichiban!,2008,DS
446,Mame Goma 3: Kawaii ga Ippai,2010,DS
447,Mame Goma: Honobono Nikki,2007,DS
448,Manga Ka Debut Monogatari DS: Akogare! Manga Ka Ikusei Game,2005,DS
449,MapleStory DS,2010,DS
450,Mar Heaven: Boukyaku no Clavier,2006,DS
451,Mar Heaven: Karudea no Akuma,2006,DS
452,March of the Penguins,2006,DS
453,Margot's Bepuzzled!,2009,DS
454,Margot's Word Brain,2008,DS
455,Marie & Gully no Let's Science,2010,DS
456,Marie-Antoinette et la Guerre d'Independence Americaine episode 1: La Fraternite du Loup,2010,DS
457,Marie-Antoinette et les Disciples de Loki,2011,DS
458,Mario & Luigi: Bowser's Inside Story,2009,DS
459,Mario & Luigi: Partners in Time,2005,DS
460,Mario & Sonic at the Olympic Games,2008,DS
461,Mario & Sonic at the Olympic Winter Games,2009,DS
462,Mario Hoops 3-on-3,2006,DS
463,Mario Kart DS,2005,DS
464,Mario Party DS,2007,DS
465,Mario vs. Donkey Kong: Mini-Land Mayhem!,2010,DS
466,Mario vs. Donkey Kong 2: March of the Minis,2006,DS
467,Marker Man Adventures,2009,DS
468,Martin Mystery,2008,DS
469,Marvel Nemesis: Rise of the Imperfects,2005,DS
470,Marvel Super Hero Squad,2009,DS
471,Marvel Super Hero Squad: The Infinity Gauntlet,2010,DS
472,Marvel Trading Card Game,2007,DS
473,Marvel: Ultimate Alliance 2,2009,DS
474,Master Jin Jin's IQ Challenge,2006,DS
475,Master of the Monster Lair,2007,DS
476,Match 3 Madness,2010,DS
477,Matchstick Puzzle by DS,2008,DS
478,Math Blaster in the Prime Adventure,2008,DS
479,Math Play,2006,DS
480,Mathematik 1-4. Klasse 2012,2011,DS
481,Mathematik 1.-4. Klasse: Fit fürs Gymnasium,2011,DS
482,Mathematik und Deutsch 1.-4. Klasse 2013,2012,DS
483,Mathematik und Deutsch 1.-4. Klasse 2014,2012,DS
484,Maths Buddy Class 5,2010,DS
485,Maths Buddy Class 6,2010,DS
486,Maths Made Simple,2008,DS
487,Maus DS,2008,DS
488,Max and the Magic Marker,2011,DS
489,May's Mystery: Forbidden Memories,2011,DS
490,Maya,2013,DS
491,Mazes of Fate DS,2008,DS
492,Me de Unou o Kitaeru: DS Sokudoku Junior,2007,DS
493,Me de Unou o Kitaeru: DS Sokudoku Jutsu,2006,DS
494,Meccha! Taiko no Tatsujin DS: Nanatsu no Shima no Daibouken,2008,DS
495,Mechanic Master,2008,DS
496,Mechanic Master 2,2010,DS
497,MechAssault: Phantom War,2006,DS
498,Medarot DS: Kabuto Ver.,2010,DS
499,Medarot DS: Kuwagata Ver.,2010,DS
500,Mega Bloks: Diego's Build and Rescue,2010,DS
501,Mega Man Battle Network 5: Double Team DS,2005,DS
502,Mega Man Star Force 2: Zerker × Ninja,2007,DS
503,Mega Man Star Force 2: Zerker × Saurian,2007,DS
504,Mega Man Star Force 3: Black Ace,2008,DS
505,Mega Man Star Force 3: Red Joker,2008,DS
506,Mega Man Star Force: Dragon,2006,DS
507,Mega Man Star Force: Leo,2006,DS
508,Mega Man Star Force: Pegasus,2006,DS
509,Mega Man Zero Collection,2010,DS
510,Mega Man ZX,2006,DS
511,Mega Man ZX Advent,2007,DS
512,Mega Mindy,2009,DS
513,Mehr Kreuzwortraetsel,2010,DS
514,Mein Beautyhotel fur Tiere,2008,DS
515,Mein TraumJob Kinderarztin,2009,DS
516,Meitantei Conan & Kindaichi Shounen no Jikenbou,2009,DS
517,Meitantei Conan: Aoki Houseki no Rinbukyoku,2011,DS
518,Meitantei Conan: Kakokara no Zensou Kyoku,2012,DS
519,Meitantei Conan: Kieta Hakase to Machigai Sagashi no Tou,2008,DS
520,Meitantei Conan: Tantei Ryoku Trainer,2009,DS
521,Mensch argere Dich nicht,2009,DS
522,Merlin: A Servant of Two Masters,2012,DS
523,Metal Fight Beyblade DS,2009,DS
524,Metal Fight Beyblade: Choujou Kessen! Big Bang Bladers,2010,DS
