player1,player2,score1,score2,round,tourneyName,eventName,date
Marvelo,Smuggles,-1,-1,Winners Quarter-Final,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Stealthy,Lamayo,3,0,Winners Quarter-Final,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
WATER-1,Young_Gouki,3,0,Winners Quarter-Final,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Jdjones,JayRain,3,2,Winners Quarter-Final,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Testyourluck,Jodi Bleek,3,1,Winners Quarter-Final,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Miguel,Dusty,3,1,Winners Quarter-Final,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Medic,PrinceJobber,3,0,Winners Quarter-Final,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
JayRain,HowDoIBlock?,3,0,Losers Round 5,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Jodi Bleek,Lookewarm,2,3,Losers Round 5,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Dusty,Osmosis,1,3,Losers Round 5,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
PrinceJobber,Trevwerd,2,3,Losers Round 5,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
RideFGC,Mop,0,3,Losers Round 5,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Smuggles,BlueHek997,1,3,Losers Round 5,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Young_Gouki,PORK LAZER,2,3,Losers Round 5,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Lamayo,Tensorial,3,2,Losers Round 5,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Lookewarm,GillGC,3,0,Losers Round 4,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
HowDoIBlock?,Vinny G,3,2,Losers Round 4,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Trevwerd,KidFrost,3,2,Losers Round 4,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Osmosis,Zintai,3,0,Losers Round 4,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Mop,Loona,3,0,Losers Round 4,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
BlueHek997,NERO,3,2,Losers Round 4,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
NeuralArch,PORK LAZER,0,3,Losers Round 4,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
CrownThunder,Tensorial,1,3,Losers Round 4,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Marvelo,Zintai,3,0,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Remi Celeste,defnotdylo,3,0,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Smuggles,Wonton,3,1,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Trevwerd,RideFGC,0,3,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Vinny G,WATER-1,2,3,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Stealthy,Musashi,3,0,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
azormx,Lamayo,0,3,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
HowDoIBlock?,Young_Gouki,2,3,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Jdjones,BeefyManatee,3,1,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Testyourluck,Teemo,3,0,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
SquidgeLuke,JayRain,0,3,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Jodi Bleek,CrownThunder,3,2,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Miguel,NERO,3,0,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Medic,Loona,3,0,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Bonj,PrinceJobber,2,3,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Dusty,Superboy_,3,1,Winners Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Miguel,Remi Celeste,3,2,Grand Final,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
azormx,Lookewarm,0,3,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
HowDoIBlock?,Mango4Tango,3,1,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Musashi,GillGC,0,3,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Vinny G,Ichi,3,0,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Trevwerd,JJnews,3,0,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Wonton,Osmosis,0,3,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
defnotdylo,KidFrost,1,3,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Zintai,DeathTheGamer,3,2,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Superboy_,BlueHek997,1,3,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Bonj,Mop,1,3,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
NERO,Gavin_XI,3,1,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Loona,CPU,3,1,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
CrownThunder,DarthPhallus,3,1,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
SquidgeLuke,NeuralArch,0,3,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Teemo,Tensorial,1,3,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
BeefyManatee,PORK LAZER,2,3,Losers Round 3,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Hardcoreplains,Lookewarm,1,3,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Mango4Tango,KudoGio,0,-1,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
GillGC,JH_Maxninja,3,0,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
ElectroKinetic,Ichi,0,3,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Meat,Osmosis,2,3,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
SonAceKeem,JJnews,1,3,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
DeathTheGamer,XyberPX,3,0,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Emperor,KidFrost,1,3,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Mop,Sunny,3,2,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
BlueHek997,Kreator,0,-1,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
CPU,HEARTS,3,0,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
MyGameDragon,Gavin_XI,1,3,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Tilted,DarthPhallus,2,3,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
40%Flashkick,NeuralArch,1,3,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
XmanguyFGC,PORK LAZER,0,3,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Tensorial,Slithraa,3,2,Losers Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Medic,Ichi,3,0,Winners Round 2,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
