,opponent,result,score,round,tourneyName,eventName,date
104,Kazam,win,3-1,Round 1,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
105,CreakyAxe,win,3-0,Round 1,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
106,Papple,win,3-1,Winners Final,9moons-weekly-42-guilty-gear-strive,double-elimination-bracket,2022-11-19
107,Sand,win,3-0,Winners Round 2,9moons-weekly-42-guilty-gear-strive,double-elimination-bracket,2022-11-19
108,Dewberry,win,3-0,Winners Quarter-Final,9moons-weekly-42-guilty-gear-strive,double-elimination-bracket,2022-11-19
109,Rat,win,3-0,Grand Final,9moons-weekly-42-guilty-gear-strive,double-elimination-bracket,2022-11-19
110,Petrafied,win,3-1,Winners Semi-Final,9moons-weekly-42-guilty-gear-strive,double-elimination-bracket,2022-11-19
111,Rat,win,3-1,Winners Semi-Final,9moons-weekly-42-guilty-gear-strive,double-elimination-bracket,2022-11-19
112,mkj,win,3-0,Winners Round 3,9moons-weekly-43-guilty-gear-strive,double-elimination-bracket,2022-11-26
113,Aarondamac,loss,2-3,Grand Final,9moons-weekly-43-guilty-gear-strive,double-elimination-bracket,2022-11-26
114,OddToaster,win,3-0,Losers Quarter-Final,9moons-weekly-43-guilty-gear-strive,double-elimination-bracket,2022-11-26
115,Lapriz,win,3-0,Losers Round 6,9moons-weekly-43-guilty-gear-strive,double-elimination-bracket,2022-11-26
116,BEPaw,loss,2-3,Winners Quarter-Final,9moons-weekly-43-guilty-gear-strive,double-elimination-bracket,2022-11-26
117,Seph,win,3-0,Winners Round 2,9moons-weekly-43-guilty-gear-strive,double-elimination-bracket,2022-11-26
118,CPU,win,3-2,Losers Round 1,9moons-weekly-43-guilty-gear-strive,double-elimination-bracket,2022-11-26
119,Conraderino,win,3-2,Losers Quarter-Final,9moons-weekly-43-guilty-gear-strive,double-elimination-bracket,2022-11-26
120,HonoredOgre,win,3-1,Losers Final,9moons-weekly-43-guilty-gear-strive,double-elimination-bracket,2022-11-26
121,mike_Saftig,win,3-1,Losers Semi-Final,9moons-weekly-43-guilty-gear-strive,double-elimination-bracket,2022-11-26
122,Eddventure,loss,2-3,Losers Round 1,tns-guilty-gear-strive-59-pc,guilty-gear-strive-pc,2022-11-28
123,NoXX,win,3-0,Winners Round 2,tns-guilty-gear-strive-59-pc,guilty-gear-strive-pc,2022-11-28
124,Lapriz,win,3-1,Losers Round 4,tns-guilty-gear-strive-59-pc,guilty-gear-strive-pc,2022-11-28
125,Lolo,loss,2-3,Winners Quarter-Final,tns-guilty-gear-strive-59-pc,guilty-gear-strive-pc,2022-11-28
126,Papa Leo,win,3-0,Losers Round 3,tns-guilty-gear-strive-59-pc,guilty-gear-strive-pc,2022-11-28
127,WashedKing,loss,0-3,Winners Round 2,9moons-monthly-14-300-prize-pool,double-elimination-bracket,2022-12-03
128,boomer__bob,win,3-0,Losers Round 2,9moons-monthly-14-300-prize-pool,double-elimination-bracket,2022-12-03
129,Void,win,3-2,Losers Round 5,9moons-monthly-14-300-prize-pool,double-elimination-bracket,2022-12-03
130,galaxybutter,win,3-0,Losers Round 4,9moons-monthly-14-300-prize-pool,double-elimination-bracket,2022-12-03
131,WashedKing,loss,2-3,Losers Round 6,9moons-monthly-14-300-prize-pool,double-elimination-bracket,2022-12-03
132,Sand,win,3-0,Losers Round 3,9moons-monthly-14-300-prize-pool,double-elimination-bracket,2022-12-03
133,Smitty_FGC,win,3-2,Winners Semi-Final,tns-guilty-gear-strive-60-pc,guilty-gear-strive-pc,2022-12-05
134,Razzo,loss,0-3,Losers Final,tns-guilty-gear-strive-60-pc,guilty-gear-strive-pc,2022-12-05
135,PineappleHour,win,3-1,Winners Quarter-Final,tns-guilty-gear-strive-60-pc,guilty-gear-strive-pc,2022-12-05
136,OddToaster,win,3-1,Winners Semi-Final,tns-guilty-gear-strive-60-pc,guilty-gear-strive-pc,2022-12-05
137,MjKurase,win,3-1,Winners Quarter-Final,tns-guilty-gear-strive-60-pc,guilty-gear-strive-pc,2022-12-05
138,FGCsand,win,3-0,Winners Round 2,tns-guilty-gear-strive-60-pc,guilty-gear-strive-pc,2022-12-05
139,NBNHMR,loss,0-3,Winners Final,tns-guilty-gear-strive-60-pc,guilty-gear-strive-pc,2022-12-05
140,Somnium,win,3-0,Round 1,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
141,PineappleHour,win,3-1,Round 1,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
142,MacMens,win,3-1,Round 1,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
143,CatboyCulture,win,3-0,Round 1,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
144,MacMens,win,3-0,Round 1,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
145,Young_Lz_23,win,3-0,Round 1,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
146,Tee,loss,1-3,Round 1,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
147,audio ambition,win,3-0,Round 1,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
148,JTR,win,3-0,Winners Quarter-Final,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
149,Hotashi,loss,1-3,Losers Quarter-Final,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
150,Marvelo,loss,2-3,Winners Semi-Final,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
151,Beluga,win,3-0,Round 1,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
152,Lurry,win,3-0,Round 1,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
153,Rydlo,win,3-0,Round 1,run-it-thursdays-21-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-12-08
154,Mawquis,win,3-1,Winners Round 2,tns-guilty-gear-strive-62-crossplay,guilty-gear-strive-crossplay,2022-12-19
155,NBNHMR,loss,1-3,Winners Final,tns-guilty-gear-strive-62-crossplay,guilty-gear-strive-crossplay,2022-12-19
156,Solstice,win,3-2,Winners Quarter-Final,tns-guilty-gear-strive-62-crossplay,guilty-gear-strive-crossplay,2022-12-19
157,daze,win,3-0,Winners Semi-Final,tns-guilty-gear-strive-62-crossplay,guilty-gear-strive-crossplay,2022-12-19
158,Marvelo,loss,1-3,Losers Final,tns-guilty-gear-strive-62-crossplay,guilty-gear-strive-crossplay,2022-12-19
159,sly,win,3-0,Winners Semi-Final,tns-guilty-gear-strive-62-crossplay,guilty-gear-strive-crossplay,2022-12-19
160,PORK LAZER,win,3-2,Winners Quarter-Final,tns-guilty-gear-strive-62-crossplay,guilty-gear-strive-crossplay,2022-12-19
161,KidBuumer,win,3-2,Winners Round 3,tns-guilty-gear-strive-62-crossplay,guilty-gear-strive-crossplay,2022-12-19
162,Razzo,win,3-2,Winners Quarter-Final,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
163,UMISHO,loss,0-3,Losers Quarter-Final,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
164,Tee,loss,1-3,Winners Semi-Final,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
165,Tee,loss,0-3,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
166,UMISHO,loss,0-3,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
167,pedrito,loss,2-3,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
168,Walter,loss,1-3,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
169,CreakyAxe,win,3-0,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
170,PineappleHour,win,3-0,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
171,Elkmin,win,3-1,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
172,greed_,win,3-0,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
173,Deezy,win,3-0,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
174,PineappleHour,win,3-0,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
175,Razzo,loss,1-3,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
176,Mawquis,win,3-0,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
177,Dusty,win,3-0,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
178,BRX,win,3-0,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
179,PORK LAZER,win,3-2,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
180,Rem,win,3-1,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
181,spooncats,win,3-0,Round 1,run-it-thursdays-23-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2022-12-22
182,Zorick,win,3-0,Winners Round 2,tns-guilty-gear-strive-63-crossplay,guilty-gear-strive-crossplay,2023-01-02
183,NeoVermillion,win,3-1,Winners Semi-Final,tns-guilty-gear-strive-64-crossplay,guilty-gear-strive-crossplay,2023-01-02
184,Skull_Duggers,win,3-2,Winners Quarter-Final,tns-guilty-gear-strive-64-crossplay,guilty-gear-strive-crossplay,2023-01-02
185,Meatloaf,loss,2-3,Losers Round 5,tns-guilty-gear-strive-63-crossplay,guilty-gear-strive-crossplay,2023-01-02
186,Meeks,win,3-0,Winners Round 3,tns-guilty-gear-strive-63-crossplay,guilty-gear-strive-crossplay,2023-01-02
187,Dusty,loss,1-3,Winners Quarter-Final,tns-guilty-gear-strive-63-crossplay,guilty-gear-strive-crossplay,2023-01-02
188,Papple,win,3-0,Losers Quarter-Final,tns-guilty-gear-strive-64-crossplay,guilty-gear-strive-crossplay,2023-01-02
189,Eddventure,loss,1-3,Winners Semi-Final,tns-guilty-gear-strive-64-crossplay,guilty-gear-strive-crossplay,2023-01-02
190,Solstice,loss,2-3,Losers Semi-Final,tns-guilty-gear-strive-64-crossplay,guilty-gear-strive-crossplay,2023-01-02
191,MacMens,win,3-2,Winners Quarter-Final,tns-guilty-gear-strive-64-crossplay,guilty-gear-strive-crossplay,2023-01-02
192,Envy,win,3-0,Winners Round 3,tns-guilty-gear-strive-64-crossplay,guilty-gear-strive-crossplay,2023-01-02
193,Musty,win,3-0,Winners Round 2,tns-guilty-gear-strive-64-crossplay,guilty-gear-strive-crossplay,2023-01-02
194,TurtleAndBeyond,win,3-0,Winners Round 2,9moons-weekly-45-crossplay,double-elimination-bracket,2023-01-14
195,corndog,win,3-0,Winners Quarter-Final,9moons-weekly-45-crossplay,double-elimination-bracket,2023-01-14
196,MFCR,win,3-0,Winners Semi-Final,9moons-weekly-45-crossplay,double-elimination-bracket,2023-01-14
197,Dewberry,win,3-0,Winners Round 3,9moons-weekly-45-crossplay,double-elimination-bracket,2023-01-14
198,Chetoo,win,3-2,Losers Quarter-Final,9moons-weekly-45-crossplay,double-elimination-bracket,2023-01-14
199,NBNHMR,loss,1-3,Winners Semi-Final,9moons-weekly-45-crossplay,double-elimination-bracket,2023-01-14
200,UMISHO,loss,2-3,Losers Semi-Final,9moons-weekly-45-crossplay,double-elimination-bracket,2023-01-14
201,pedrito,win,3-0,Winners Semi-Final,tns-guilty-gear-strive-65-crossplay,guilty-gear-strive-crossplay,2023-01-16
202,Minish,win,3-0,Winners Quarter-Final,tns-guilty-gear-strive-65-crossplay,guilty-gear-strive-crossplay,2023-01-16
203,Dende,loss,0-3,Losers Semi-Final,tns-guilty-gear-strive-65-crossplay,guilty-gear-strive-crossplay,2023-01-16
204,NBNHMR,loss,1-3,Winners Semi-Final,tns-guilty-gear-strive-65-crossplay,guilty-gear-strive-crossplay,2023-01-16
205,Dende,win,3-1,Winners Quarter-Final,tns-guilty-gear-strive-65-crossplay,guilty-gear-strive-crossplay,2023-01-16
